SKU_ID,SKU_Name,Category,ABC_Class,Supplier_ID,Supplier_Name,Warehouse_ID,Warehouse_Location,Batch_ID,Received_Date,Last_Purchase_Date,Expiry_Date,Stock_Age_Days,Quantity_On_Hand,Quantity_Reserved,Quantity_Committed,Damaged_Qty,Returns_Qty,Avg_Daily_Sales,Forecast_Next_30d,Days_of_Inventory,Reorder_Point,Safety_Stock,Lead_Time_Days,Unit_Cost_USD,Last_Purchase_Price_USD,Total_Inventory_Value_USD,SKU_Churn_Rate,Order_Frequency_per_month,Supplier_OnTime_Pct,FIFO_FEFO,Inventory_Status,Count_Variance,Audit_Date,Audit_Variance_Pct,Demand_Forecast_Accuracy_Pct,Notes
SKU0076,Meat Product 302,Meat,C,S007,PT Bakerindo,WHSBY,Surabaya - Sidoarjo,BATCH2625,17/04/2025,16/02/2025,23/04/2025,145,88,23,13,1,3,"17,62",556,"4,99",192,69,7,"$7,92","$8,44","$696,55","6,01","5,00","88,94%",FIFO,Low Stock,2,21/06/2025,"-8,09%","66,38%",
SKU0077,Beverages Product 81,Beverages,A,S004,PT Nusantara Supplier,WHBDG,Bandung - Rancaekek,BATCH3564,21/04/2025,21/04/2025,21/09/2026,141,431,35,78,3,2,"55,58",1.892,"7,75",1.17,392,14,"$4,94","$5,18","$2.127,11","3,87","17,00","87,79%",FEFO,Low Stock,7,14/07/2025,"3,52%","60,60%",
SKU0078,Frozen Product 17,Frozen,B,S004,PT Nusantara Supplier,WHSBY,Surabaya - Sidoarjo,BATCH8438,13/03/2025,09/03/2025,20/11/2025,180,318,130,119,0,0,"45,47",1.01,"6,99",205,69,3,"$3,36","$3,22","$1.068,67","4,29","13,00","95,96%",FIFO,In Stock,5,07/08/2025,"-2,9%","90,41%",
SKU0079,Pantry Product 339,Pantry,B,S004,PT Nusantara Supplier,WHMDN,Medan - Deli Serdang,BATCH4683,11/08/2025,01/07/2025,30/08/2029,29,87,12,36,1,1,"16,46",504,"5,29",127,45,5,"$9,87","$9,03","$858,51","5,68","9,00","99,28%",FIFO,Low Stock,5,06/08/2025,"1,25%","63,67%",
SKU0080,Fresh Product 85,Fresh Produce,B,S005,PT Agro Raya,WHDPS,Denpasar - Tabanan,BATCH8195,17/04/2025,10/04/2025,24/04/2025,145,468,146,34,0,0,"45,50",1.235,"10,29",478,160,7,"$2,34","$2,46","$1.094,84","2,92","14,00","85,04%",FEFO,Low Stock,0,13/06/2025,"0,14%","74,47%",
SKU0081,Bakery Product 140,Bakery,B,S009,PT Beverage Nusantara,WHDPS,Denpasar - Tabanan,BATCH2317,06/05/2025,29/03/2025,11/05/2025,126,256,31,69,2,0,"21,74",796,"11,78",99,34,3,"$3,39","$3,15","$867,46","2,55","7,00","98,78%",FIFO,Expiring Soon,5,16/07/2025,"6,35%","90,63%",
SKU0082,Pantry Product 14,Pantry,A,S002,PT Indo Fresh,WHBDG,Bandung - Rancaekek,BATCH1339,21/03/2025,01/02/2025,11/06/2029,172,246,70,71,1,1,"24,85",736,"9,90",78,28,2,"$9,72","$11,07","$2.391,69","3,03","8,00","95,12%",FEFO,In Stock,1,28/06/2025,"6,5%","79,23%",High return rate
SKU0083,Frozen Product 334,Frozen,C,S008,PT Hygienic Supplies,WHSBY,Surabaya - Sidoarjo,BATCH8141,25/07/2025,15/06/2025,19/06/2026,46,9,9,0,0,0,"2,85",110,"3,16",18,12,2,"$1,00","$0,92","$9,02","9,50","1,00","73,58%",FEFO,Low Stock,-6,29/08/2025,"9,9%","69,09%",
SKU0084,Bakery Product 165,Bakery,C,S002,PT Indo Fresh,WHBDG,Bandung - Rancaekek,BATCH9117,17/06/2025,30/05/2025,22/06/2025,84,82,21,16,2,1,"9,77",333,"8,39",109,41,7,"$1,56","$1,49","$128,04","3,57","5,00","75,22%",FEFO,Low Stock,0,01/07/2025,"-6,52%","90,10%",Seasonal SKU
SKU0085,Seafood Product 166,Seafood,B,S002,PT Indo Fresh,WHMDN,Medan - Deli Serdang,BATCH9889,01/05/2025,02/04/2025,04/05/2025,131,223,46,83,1,0,"28,95",893,"7,70",181,65,4,"$7,03","$6,57","$1.568,14","3,89","10,00","93,16%",FEFO,Expiring Soon,-1,03/09/2025,"0,71%","77,27%",
SKU0086,Bakery Product 388,Bakery,B,S008,PT Hygienic Supplies,WHMDN,Medan - Deli Serdang,BATCH5375,27/08/2025,23/07/2025,30/08/2025,13,490,203,59,4,0,"67,01",2.203,"7,31",203,69,2,"$3,62","$3,29","$1.774,93","4,10","25,00","71,97%",FIFO,Expiring Soon,5,04/08/2025,"8,04%","94,01%",
SKU0087,Beverages Product 63,Beverages,C,S001,PT Segar Makmur,WHDPS,Denpasar - Tabanan,BATCH3594,10/07/2025,21/06/2025,02/07/2030,61,173,62,21,1,2,"16,72",440,"10,35",26,9,1,"$4,24","$3,90","$734,14","2,90","5,00","89,48%",FIFO,In Stock,0,01/07/2025,"-8,57%","73,29%",
SKU0088,Meat Product 431,Meat,B,S002,PT Indo Fresh,WHMDN,Medan - Deli Serdang,BATCH9165,10/08/2025,12/06/2025,19/08/2025,30,150,39,2,0,0,"12,07",464,"12,43",22,10,1,"$9,53","$10,42","$1.428,89","2,41","8,00","79,98%",FEFO,Expiring Soon,-1,06/07/2025,"2,88%","90,35%",
SKU0089,Bakery Product 248,Bakery,C,S008,PT Hygienic Supplies,WHBDG,Bandung - Rancaekek,BATCH3369,16/05/2025,22/04/2025,22/05/2025,116,105,0,64,1,1,"18,05",472,"5,82",274,94,10,"$3,75","$3,49","$393,57","5,16","12,00","99,05%",FIFO,Low Stock,-3,25/06/2025,"-6,05%","91,01%",
SKU0090,Household Product 443,Household,C,S002,PT Indo Fresh,WHSBY,Surabaya - Sidoarjo,BATCH9318,26/05/2025,09/05/2025,21/04/2028,106,17,3,4,3,0,"1,82",63,"9,34",9,5,2,"$18,78","$17,61","$319,24","3,21","1,00","74,47%",FIFO,In Stock,1,04/08/2025,"-3,15%","83,25%",
SKU0091,Household Product 297,Household,C,S008,PT Hygienic Supplies,WHBDG,Bandung - Rancaekek,BATCH8935,18/05/2025,26/04/2025,25/05/2029,114,111,36,20,0,0,"11,97",393,"9,27",131,47,7,"$2,33","$2,61","$258,44","3,24","10,00","70,33%",FEFO,Low Stock,-3,01/07/2025,"-4,44%","71,82%",
SKU0092,Bakery Product 478,Bakery,A,S006,PT Frozen Express,WHBDG,Bandung - Rancaekek,BATCH7274,15/03/2025,01/03/2025,18/03/2025,178,780,149,75,0,1,"53,83",1.264,"14,49",246,85,3,"$3,12","$3,11","$2.436,25","2,07","14,00","81,87%",FEFO,Expiring Soon,3,04/09/2025,"2,87%","85,20%",
SKU0093,Frozen Product 468,Frozen,B,S007,PT Bakerindo,WHMDN,Medan - Deli Serdang,BATCH3492,24/03/2025,21/02/2025,05/03/2026,169,207,61,59,2,0,"26,49",794,"7,81",47,21,1,"$7,12","$7,61","$1.473,80","3,84","9,00","82,80%",FIFO,In Stock,-2,24/08/2025,"6,1%","62,93%",
SKU0094,Pantry Product 446,Pantry,C,S002,PT Indo Fresh,WHMDN,Medan - Deli Serdang,BATCH8486,15/08/2025,15/08/2025,27/07/2029,25,118,19,3,1,1,"7,40",286,"15,95",51,21,4,"$1,60","$1,84","$189,08","1,88","7,00","95,16%",FIFO,In Stock,5,19/07/2025,"4,94%","66,28%",
SKU0095,Personal Product 39,Personal Care,C,S008,PT Hygienic Supplies,WHSBY,Surabaya - Sidoarjo,BATCH7512,15/06/2025,05/05/2025,12/12/2029,86,44,8,22,0,0,"10,05",212,"4,38",79,29,5,"$5,87","$5,36","$258,32","6,85","2,00","81,77%",FIFO,Low Stock,0,29/07/2025,"8,08%","62,18%",
SKU0096,Household Product 195,Household,B,S006,PT Frozen Express,WHMDN,Medan - Deli Serdang,BATCH2121,24/04/2025,09/04/2025,06/07/2026,138,61,10,4,4,1,"9,97",272,"6,12",111,41,7,"$18,49","$16,94","$1.127,96","4,90","1,00","89,58%",FEFO,Low Stock,-5,11/08/2025,"-0,25%","94,19%",
SKU0097,Bakery Product 51,Bakery,C,S002,PT Indo Fresh,WHMDN,Medan - Deli Serdang,BATCH5906,29/07/2025,02/06/2025,05/08/2025,42,151,59,92,0,2,"40,53",916,"3,73",130,49,2,"$3,87","$3,81","$584,66","8,05","11,00","86,01%",FIFO,Expiring Soon,-3,04/09/2025,"-3,83%","85,98%",
SKU0098,Fresh Product 184,Fresh Produce,C,S006,PT Frozen Express,WHMDN,Medan - Deli Serdang,BATCH9702,03/08/2025,08/07/2025,09/08/2025,37,214,117,58,4,1,"46,16",1.51,"4,64",75,29,1,"$2,04","$2,27","$436,92","6,47","9,00","93,79%",FIFO,Expiring Soon,3,19/08/2025,"3,38%","80,73%",
SKU0099,Pantry Product 196,Pantry,C,S010,PT DailyDairy,WHBDG,Bandung - Rancaekek,BATCH3344,05/05/2025,21/04/2025,11/08/2029,127,18,6,1,0,1,"2,51",73,"7,17",16,8,3,"$7,05","$7,26","$126,91","4,18","2,00","71,92%",FEFO,In Stock,-1,20/06/2025,"-5,9%","97,43%",
SKU0100,Meat Product 5,Meat,A,S008,PT Hygienic Supplies,WHSBY,Surabaya - Sidoarjo,BATCH2210,20/03/2025,20/02/2025,30/03/2025,173,339,189,65,0,0,"36,55",829,"9,27",386,130,7,"$6,37","$5,88","$2.159,87","3,23","16,00","79,21%",FEFO,Low Stock,-2,26/06/2025,"-1,18%","73,55%",
SKU0101,Personal Product 354,Personal Care,B,S005,PT Agro Raya,WHMDN,Medan - Deli Serdang,BATCH7302,24/06/2025,01/05/2025,05/08/2027,77,58,16,20,0,1,"5,70",181,"10,18",20,9,2,"$16,17","$16,02","$938,10","2,95","4,00","93,56%",FEFO,In Stock,-5,27/08/2025,"7,94%","61,27%",
SKU0102,Pantry Product 295,Pantry,A,S005,PT Agro Raya,WHSBY,Surabaya - Sidoarjo,BATCH7484,04/09/2025,18/08/2025,14/05/2030,5,293,37,11,1,0,"25,85",549,"11,33",196,67,5,"$14,53","$13,68","$4.256,12","2,65","12,00","94,24%",FIFO,In Stock,0,29/06/2025,"7,64%","81,27%",
SKU0103,Beverages Product 499,Beverages,A,S001,PT Segar Makmur,WHDPS,Denpasar - Tabanan,BATCH4770,05/05/2025,28/03/2025,12/12/2027,127,562,73,18,2,0,"37,06",1.272,"15,16",286,101,5,"$3,78","$3,49","$2.125,65","1,98","15,00","87,03%",FEFO,In Stock,-1,12/08/2025,"4,38%","67,27%",
SKU0104,Pantry Product 348,Pantry,A,S003,PT Prima Distribusi,WHJKT,Jakarta - Cengkareng,BATCH1645,02/04/2025,14/03/2025,15/11/2029,160,197,65,28,0,0,"24,38",892,"8,08",43,19,1,"$11,15","$10,50","$2.196,47","3,71","9,00","96,52%",FEFO,In Stock,-2,05/09/2025,"3,11%","68,19%",
SKU0105,Beverages Product 47,Beverages,B,S005,PT Agro Raya,WHSBY,Surabaya - Sidoarjo,BATCH4289,26/05/2025,18/05/2025,20/05/2027,106,329,50,81,0,0,"87,67",3.009,"3,75",135,47,1,"$5,28","$6,04","$1.735,80","7,99","26,00","78,62%",FEFO,In Stock,-3,04/07/2025,"-7,79%","94,89%",
SKU0106,Meat Product 85,Meat,A,S005,PT Agro Raya,WHMDN,Medan - Deli Serdang,BATCH2886,26/06/2025,28/05/2025,11/07/2025,75,415,45,66,2,1,"30,65",1.099,"13,54",52,21,1,"$11,06","$10,29","$4.591,19","2,22","8,00","87,66%",FIFO,Expiring Soon,-1,22/08/2025,"-8,63%","62,82%",
SKU0107,Meat Product 347,Meat,C,S007,PT Bakerindo,WHDPS,Denpasar - Tabanan,BATCH7464,08/06/2025,08/06/2025,15/06/2025,93,302,98,72,4,1,"35,34",903,"8,55",374,127,7,"$2,18","$2,11","$657,51","3,51","13,00","85,49%",FEFO,Low Stock,6,03/07/2025,"5,78%","68,37%",Promotional item
SKU0108,Beverages Product 345,Beverages,C,S005,PT Agro Raya,WHDPS,Denpasar - Tabanan,BATCH7086,04/06/2025,29/05/2025,01/01/2030,97,480,164,44,1,1,"87,12",2.633,"5,51",266,92,2,"$0,45","$0,48","$218,21","5,45","28,00","89,24%",FIFO,In Stock,-1,11/07/2025,"1,83%","63,96%",Temperature controlled
SKU0109,Seafood Product 313,Seafood,A,S004,PT Nusantara Supplier,WHJKT,Jakarta - Cengkareng,BATCH5951,31/03/2025,18/02/2025,10/04/2025,162,187,68,16,0,0,"18,42",543,"10,15",56,19,2,"$14,36","$13,06","$2.684,74","2,96","9,00","94,58%",FEFO,Expiring Soon,0,26/08/2025,"2,08%","77,12%",Seasonal SKU
SKU0110,Seafood Product 253,Seafood,C,S002,PT Indo Fresh,WHJKT,Jakarta - Cengkareng,BATCH7367,11/07/2025,12/06/2025,16/07/2025,60,4,4,0,1,0,"9,26",252,"0,43",23,14,1,"$12,97","$12,96","$51,88","69,45","5,00","78,10%",FEFO,Low Stock,-4,16/06/2025,"-8,26%","79,28%",
SKU0111,Beverages Product 277,Beverages,B,S007,PT Bakerindo,WHDPS,Denpasar - Tabanan,BATCH2622,01/08/2025,09/06/2025,27/11/2028,39,577,78,98,2,1,"43,34",942,"13,31",137,50,2,"$3,28","$3,73","$1.891,23","2,25","12,00","93,61%",FEFO,In Stock,4,23/06/2025,"4,43%","93,12%",
SKU0112,Personal Product 17,Personal Care,C,S006,PT Frozen Express,WHBDG,Bandung - Rancaekek,BATCH4868,19/05/2025,26/03/2025,14/11/2028,113,46,13,4,1,2,"3,21",102,"14,33",18,12,2,"$16,67","$18,93","$766,72","2,09","4,00","91,36%",FEFO,In Stock,2,28/08/2025,"3,37%","60,38%",
SKU0113,Bakery Product 462,Bakery,C,S006,PT Frozen Express,WHJKT,Jakarta - Cengkareng,BATCH4109,31/05/2025,24/05/2025,04/06/2025,101,649,79,12,3,0,"63,46",2.078,"10,23",290,100,3,"$0,92","$0,86","$598,38","2,93","25,00","89,85%",FEFO,Expiring Soon,-1,29/08/2025,"1,17%","92,13%",
SKU0114,Pantry Product 306,Pantry,C,S001,PT Segar Makmur,WHJKT,Jakarta - Cengkareng,BATCH3063,16/06/2025,27/04/2025,27/10/2027,85,88,33,20,3,2,"9,88",314,"8,91",113,44,7,"$4,35","$4,38","$382,63","3,37","4,00","74,21%",FIFO,Low Stock,1,01/09/2025,"-3,62%","86,81%",
SKU0115,Pantry Product 301,Pantry,A,S004,PT Nusantara Supplier,WHBDG,Bandung - Rancaekek,BATCH1046,17/06/2025,31/05/2025,15/04/2027,84,168,37,10,2,0,"11,03",347,"15,23",51,18,3,"$13,38","$12,38","$2.248,58","1,97","2,00","98,67%",FIFO,In Stock,0,24/08/2025,"6,94%","81,27%",
SKU0116,Household Product 57,Household,C,S001,PT Segar Makmur,WHBDG,Bandung - Rancaekek,BATCH4898,06/09/2025,31/07/2025,08/09/2028,3,108,41,27,3,0,"19,57",728,"5,52",297,101,10,"$4,96","$4,49","$535,19","5,44","12,00","74,55%",FEFO,Low Stock,0,07/09/2025,"5,12%","64,41%",
SKU0117,Fresh Product 380,Fresh Produce,B,S007,PT Bakerindo,WHDPS,Denpasar - Tabanan,BATCH2041,11/08/2025,12/07/2025,25/08/2025,29,572,114,13,1,1,"45,63",1.641,"12,54",140,49,2,"$1,52","$1,43","$868,41","2,39","12,00","99,49%",FEFO,Expiring Soon,-1,25/07/2025,"0,15%","80,70%",
SKU0118,Fresh Product 258,Fresh Produce,C,S004,PT Nusantara Supplier,WHDPS,Denpasar - Tabanan,BATCH9543,29/08/2025,10/08/2025,12/09/2025,11,829,89,39,0,0,"66,26",1.959,"12,51",207,74,2,"$0,63","$0,67","$523,18","2,40","31,00","85,73%",FEFO,Expiring Soon,3,19/06/2025,"-5,97%","80,63%",
SKU0119,Fresh Product 246,Fresh Produce,C,S007,PT Bakerindo,WHMDN,Medan - Deli Serdang,BATCH9032,18/03/2025,01/02/2025,22/03/2025,175,126,33,12,0,1,"14,80",541,"8,51",162,58,7,"$2,21","$2,07","$278,95","3,52","5,00","85,08%",FEFO,Low Stock,2,31/08/2025,"-0,75%","82,37%",
SKU0120,Seafood Product 76,Seafood,A,S002,PT Indo Fresh,WHBDG,Bandung - Rancaekek,BATCH7240,01/07/2025,24/05/2025,09/07/2025,70,262,29,33,2,1,"17,74",449,"14,77",381,133,14,"$8,40","$7,69","$2.200,85","2,03","4,00","91,65%",FEFO,Low Stock,4,13/07/2025,"-9,94%","71,85%",
SKU0121,Bakery Product 407,Bakery,A,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH8398,16/07/2025,21/05/2025,21/07/2025,55,1,160,168,2,1,"65,26",1.717,"18,95",297,101,3,"$3,17","$3,02","$3.920,18","1,58","26,00","91,84%",FIFO,Expiring Soon,1,19/07/2025,"9,15%","60,54%",
SKU0122,Frozen Product 213,Frozen,B,S002,PT Indo Fresh,WHSBY,Surabaya - Sidoarjo,BATCH5176,23/05/2025,30/04/2025,07/02/2026,109,488,121,79,2,1,"38,16",818,"12,79",237,84,4,"$2,00","$2,00","$976,00","2,35","14,00","87,02%",FIFO,In Stock,1,14/06/2025,"4,46%","71,63%",
SKU0123,Fresh Product 426,Fresh Produce,C,S002,PT Indo Fresh,WHJKT,Jakarta - Cengkareng,BATCH7105,22/05/2025,01/04/2025,26/05/2025,110,38,12,5,1,0,"5,46",142,"6,96",26,10,3,"$1,84","$1,69","$69,73","4,31","4,00","84,05%",FIFO,Expiring Soon,1,30/06/2025,"-1,94%","90,53%",Temperature controlled
SKU0124,Pantry Product 344,Pantry,C,S002,PT Indo Fresh,WHMDN,Medan - Deli Serdang,BATCH7929,11/06/2025,17/04/2025,04/03/2030,90,200,44,55,3,0,"19,57",606,"10,22",31,11,1,"$3,62","$3,91","$724,52","2,94","7,00","97,05%",FIFO,In Stock,-3,04/08/2025,"7,34%","84,21%",
SKU0125,Seafood Product 296,Seafood,B,S009,PT Beverage Nusantara,WHBDG,Bandung - Rancaekek,BATCH4674,01/08/2025,08/06/2025,11/08/2025,39,154,35,10,2,1,"12,64",280,"12,18",20,7,1,"$11,37","$11,68","$1.750,75","2,46","1,00","77,28%",FIFO,Expiring Soon,-4,27/07/2025,"-9,06%","91,89%",
SKU0126,Bakery Product 391,Bakery,C,S005,PT Agro Raya,WHDPS,Denpasar - Tabanan,BATCH1430,14/07/2025,06/06/2025,19/07/2025,57,215,29,53,3,1,"24,19",916,"8,89",76,28,2,"$3,09","$3,49","$665,04","3,38","7,00","77,50%",FEFO,Expiring Soon,-1,06/09/2025,"8,86%","85,66%",
SKU0127,Beverages Product 159,Beverages,B,S006,PT Frozen Express,WHSBY,Surabaya - Sidoarjo,BATCH3347,08/09/2025,03/08/2025,14/09/2027,1,146,31,37,0,0,"19,92",761,"7,33",64,24,2,"$7,03","$7,70","$1.026,23","4,09","6,00","92,64%",FEFO,In Stock,0,01/09/2025,"2,88%","79,02%",Seasonal SKU
SKU0128,Fresh Product 272,Fresh Produce,C,S004,PT Nusantara Supplier,WHMDN,Medan - Deli Serdang,BATCH6585,25/05/2025,15/05/2025,04/06/2025,107,560,165,75,0,0,"66,66",2.517,"8,40",1.001,334,10,"$1,22","$1,34","$681,13","3,57","23,00","72,52%",FEFO,Low Stock,6,01/08/2025,"5,08%","64,78%",
SKU0129,Beverages Product 291,Beverages,C,S010,PT DailyDairy,WHJKT,Jakarta - Cengkareng,BATCH3579,27/08/2025,10/07/2025,11/07/2027,13,812,174,38,0,0,"67,35",1.452,"12,06",510,173,5,"$0,54","$0,60","$434,83","2,49","21,00","77,87%",FIFO,In Stock,0,15/06/2025,"6,77%","87,98%",Fragile
SKU0130,Beverages Product 249,Beverages,A,S010,PT DailyDairy,WHMDN,Medan - Deli Serdang,BATCH4531,26/05/2025,08/04/2025,06/12/2027,106,841,133,108,1,1,"88,01",2.039,"9,56",265,89,2,"$5,85","$6,03","$4.923,13","3,14","35,00","80,27%",FIFO,In Stock,4,27/07/2025,"9,52%","70,09%",
SKU0131,Meat Product 348,Meat,C,S010,PT DailyDairy,WHMDN,Medan - Deli Serdang,BATCH1744,28/04/2025,14/04/2025,12/05/2025,134,28,1,4,1,0,"2,05",65,"13,66",15,9,3,"$5,40","$5,07","$151,29","2,20","1,00","89,81%",FEFO,Expiring Soon,2,25/06/2025,"7,99%","77,99%",High return rate
SKU0132,Seafood Product 109,Seafood,A,S003,PT Prima Distribusi,WHSBY,Surabaya - Sidoarjo,BATCH2965,27/06/2025,27/06/2025,05/07/2025,74,319,12,82,0,0,"29,72",957,"10,73",184,65,4,"$9,57","$9,49","$3.052,42","2,79","14,00","74,35%",FEFO,Expiring Soon,4,16/07/2025,"-5,49%","89,69%",
SKU0133,Bakery Product 361,Bakery,C,S004,PT Nusantara Supplier,WHDPS,Denpasar - Tabanan,BATCH6802,19/04/2025,15/04/2025,26/04/2025,143,255,83,69,2,0,"45,27",1.324,"5,63",141,50,2,"$0,53","$0,60","$134,49","5,33","21,00","96,48%",FEFO,Expiring Soon,1,04/09/2025,"2,42%","81,31%",
SKU0134,Frozen Product 40,Frozen,C,S006,PT Frozen Express,WHDPS,Denpasar - Tabanan,BATCH7626,23/05/2025,08/04/2025,14/04/2026,109,86,18,26,2,1,"8,58",248,"10,02",17,8,1,"$5,72","$6,51","$491,95","2,99","2,00","98,94%",FEFO,In Stock,-3,03/08/2025,"9,9%","82,56%",Seasonal SKU
SKU0135,Personal Product 88,Personal Care,B,S010,PT DailyDairy,WHMDN,Medan - Deli Serdang,BATCH2443,17/03/2025,18/02/2025,27/03/2028,176,202,51,28,1,2,"20,02",721,"10,09",151,51,5,"$5,00","$5,07","$1.009,13","2,97","6,00","85,18%",FIFO,In Stock,-3,09/08/2025,"5,63%","89,81%",
SKU0136,Bakery Product 41,Bakery,C,S007,PT Bakerindo,WHSBY,Surabaya - Sidoarjo,BATCH6456,15/06/2025,27/04/2025,18/06/2025,86,155,10,99,3,2,"20,01",704,"7,75",93,33,3,"$3,33","$3,32","$516,00","3,87","7,00","84,93%",FIFO,Expiring Soon,-4,31/08/2025,"5,09%","69,54%",
SKU0137,Fresh Product 262,Fresh Produce,C,S004,PT Nusantara Supplier,WHSBY,Surabaya - Sidoarjo,BATCH3419,12/06/2025,28/05/2025,26/06/2025,89,66,21,12,0,0,"7,92",228,"8,33",39,15,3,"$0,79","$0,79","$51,87","3,60","7,00","77,53%",FIFO,Expiring Soon,1,22/08/2025,"-3,47%","94,34%",
SKU0138,Dairy Product 79,Dairy,C,S002,PT Indo Fresh,WHBDG,Bandung - Rancaekek,BATCH8601,02/04/2025,13/02/2025,24/04/2025,160,382,62,3,0,1,"36,85",1.234,"10,37",388,130,7,"$1,75","$1,75","$667,05","2,89","15,00","95,84%",FEFO,Low Stock,-2,14/06/2025,"6,22%","89,30%",
SKU0139,Pantry Product 326,Pantry,C,S010,PT DailyDairy,WHSBY,Surabaya - Sidoarjo,BATCH3473,02/04/2025,05/03/2025,09/01/2028,160,73,17,16,1,1,"9,19",227,"7,94",23,14,1,"$8,22","$7,53","$600,40","3,78","3,00","75,64%",FIFO,In Stock,-1,11/07/2025,"-2,76%","60,38%",
SKU0140,Seafood Product 141,Seafood,C,S010,PT DailyDairy,WHJKT,Jakarta - Cengkareng,BATCH6085,11/06/2025,13/05/2025,15/06/2025,90,125,84,41,0,1,"22,22",827,"5,63",338,116,10,"$6,03","$6,50","$753,89","5,33","9,00","93,03%",FEFO,Low Stock,4,05/09/2025,"6,34%","90,65%",Promotional item
SKU0141,Fresh Product 443,Fresh Produce,C,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH7299,10/04/2025,12/03/2025,21/04/2025,152,278,213,65,0,1,"76,42",1.824,"3,64",115,39,1,"$1,58","$1,71","$440,44","8,25","19,00","73,60%",FIFO,Expiring Soon,2,14/07/2025,"-6,56%","66,85%",
SKU0142,Pantry Product 97,Pantry,C,S006,PT Frozen Express,WHDPS,Denpasar - Tabanan,BATCH3471,11/05/2025,08/05/2025,02/03/2029,121,235,49,54,1,0,"25,66",768,"9,16",78,27,2,"$2,14","$2,30","$502,74","3,28","7,00","90,76%",FEFO,In Stock,-3,27/08/2025,"4,54%","74,46%",
SKU0143,Household Product 366,Household,A,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH1641,28/03/2025,13/03/2025,16/03/2027,165,122,9,15,1,0,"9,32",357,"13,09",198,68,14,"$19,42","$19,56","$2.369,24","2,29","7,00","94,08%",FEFO,Low Stock,3,15/07/2025,"-3,82%","87,15%",
SKU0144,Pantry Product 187,Pantry,C,S006,PT Frozen Express,WHSBY,Surabaya - Sidoarjo,BATCH6543,02/06/2025,20/04/2025,16/09/2028,99,35,5,0,1,1,"3,06",98,"11,44",10,4,2,"$7,67","$7,96","$268,53","2,62","2,00","72,02%",FIFO,In Stock,2,21/06/2025,"-4,25%","72,69%",
SKU0145,Fresh Product 49,Fresh Produce,B,S009,PT Beverage Nusantara,WHMDN,Medan - Deli Serdang,BATCH3463,29/06/2025,08/06/2025,06/07/2025,72,456,35,28,0,1,"26,43",927,"17,25",123,44,3,"$2,02","$2,32","$923,08","1,74","9,00","86,16%",FIFO,Expiring Soon,0,27/06/2025,"5,7%","89,84%",
SKU0146,Personal Product 159,Personal Care,A,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH2388,10/04/2025,22/03/2025,31/03/2030,152,162,10,22,1,1,"14,33",470,"11,30",24,10,1,"$24,48","$23,29","$3.965,81","2,65","3,00","98,07%",FEFO,In Stock,-4,19/06/2025,"-0,34%","96,80%",
SKU0147,Household Product 344,Household,C,S009,PT Beverage Nusantara,WHJKT,Jakarta - Cengkareng,BATCH7937,28/03/2025,24/02/2025,30/12/2029,165,45,9,0,4,0,"2,75",87,"16,36",7,4,1,"$6,30","$6,26","$283,37","1,83","1,00","70,06%",FEFO,In Stock,2,07/09/2025,"1,27%","79,98%",
SKU0148,Dairy Product 110,Dairy,C,S006,PT Frozen Express,WHMDN,Medan - Deli Serdang,BATCH3253,22/07/2025,13/07/2025,05/08/2025,49,180,9,0,0,1,"9,67",370,"18,61",16,6,1,"$1,36","$1,23","$244,28","1,61","5,00","70,25%",FIFO,Expiring Soon,4,03/08/2025,"1,66%","75,16%",
SKU0149,Fresh Product 395,Fresh Produce,C,S009,PT Beverage Nusantara,WHDPS,Denpasar - Tabanan,BATCH6517,31/08/2025,06/07/2025,13/09/2025,9,134,26,1,1,1,"11,95",395,"11,21",63,27,3,"$1,25","$1,27","$168,02","2,68","4,00","96,89%",FIFO,Expiring Soon,-1,25/06/2025,"9,93%","86,63%",
SKU0150,Dairy Product 426,Dairy,C,S010,PT DailyDairy,WHBDG,Bandung - Rancaekek,BATCH7731,20/05/2025,27/04/2025,28/05/2025,112,209,62,2,0,1,"23,29",696,"8,97",142,49,4,"$0,89","$0,89","$186,93","3,34","11,00","95,52%",FIFO,Expiring Soon,-1,15/07/2025,"-3,34%","70,77%",
SKU0151,Beverages Product 402,Beverages,A,S008,PT Hygienic Supplies,WHBDG,Bandung - Rancaekek,BATCH6070,26/04/2025,06/03/2025,28/08/2027,136,1,152,220,0,2,"86,26",1.845,"13,99",390,131,3,"$7,34","$7,80","$8.858,17","2,14","30,00","84,49%",FEFO,In Stock,1,16/08/2025,"8,73%","71,44%",
SKU0152,Personal Product 226,Personal Care,C,S008,PT Hygienic Supplies,WHSBY,Surabaya - Sidoarjo,BATCH9641,04/06/2025,09/05/2025,29/03/2029,97,28,12,0,2,1,"3,53",127,"7,93",16,9,2,"$23,20","$25,44","$649,59","3,78","2,00","97,27%",FIFO,In Stock,2,15/08/2025,"8,85%","76,96%",
